OBJECTID,REF_NUMBER,TIME,SEVERITY,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,ACCIDENT_DESCRIPTION
402,141404553,1105,1,1,1,0,0,0,0,1
406,141404632,1015,1,2,2,0,0,1,0,2
409,141404642,1800,1,1,1,1,0,0,1,5
458,141405126,1154,1,2,1,1,0,0,0,5
467,141405164,1540,1,2,1,0,1,0,0,2
471,141405274,225,1,1,1,1,0,0,0,5
472,141405294,1740,1,1,1,1,0,0,0,5
602,141403601,1300,1,2,1,0,1,0,0,1
610,141406404,930,1,2,1,0,0,1,0,3
2458,161605391,705,1,2,1,0,1,0,0,3
2517,161606268,1335,1,2,1,0,0,0,0,3
2527,161606370,850,2,2,1,0,1,0,0,1
2530,161606394,1800,1,4,2,0,0,0,0,2
2541,161606559,1202,1,2,1,0,0,1,0,1
2542,161606572,1744,1,2,1,0,1,0,0,2
2545,161606640,1131,1,2,1,0,0,1,0,2
2548,161606183,1330,1,2,1,0,0,0,0,2
2550,161606336,2046,1,2,1,0,1,0,0,1
2552,161606667,2100,1,2,1,0,0,0,0,2
2644,161607612,1005,1,2,1,0,1,0,0,2
2647,161607101,1111,1,2,1,0,1,0,0,1
2658,161607640,1235,1,2,1,0,0,0,1,3
2661,161607681,2129,1,2,1,0,0,0,0,2
2664,161607730,755,1,3,1,0,0,1,0,2
2665,161607760,1535,1,1,1,1,0,0,0,5
2668,161607781,1710,1,2,1,0,1,0,0,1
2670,161607804,1530,1,2,2,0,0,0,0,3
2678,161607951,1220,1,3,1,0,0,0,0,2
2683,161607977,1311,1,2,1,0,0,0,0,3
2564,161606837,1630,1,2,2,0,0,0,0,2
2566,161606847,1500,1,2,1,0,0,0,0,3
2572,161606398,1355,1,2,1,0,1,0,0,1
2577,161606871,1030,1,2,1,0,0,1,0,1
2580,161606932,1509,1,2,1,0,0,0,0,3
2602,161607092,1840,2,2,1,0,0,0,0,2
2615,161606332,1720,1,2,3,0,0,0,1,2
2620,161606874,1300,1,2,1,0,1,0,0,1
2623,161607085,1230,1,2,1,0,0,0,0,1
2633,161607465,703,1,2,1,0,0,0,0,4
2634,161606729,827,1,3,1,0,1,0,0,1
4479,181807160,1515,1,1,1,1,0,0,1,5
4137,181803939,1450,2,1,1,1,0,0,0,5
4142,181804020,1315,3,2,1,0,0,0,0,1
4146,181803642,1725,1,1,1,1,0,0,0,5
4159,181804186,1834,2,2,1,0,1,0,0,3
4166,181803827,220,1,1,1,1,0,0,0,5
4488,181807180,1230,1,2,2,0,0,0,0,2
4492,181807317,1855,1,2,1,1,0,0,0,5
4500,181808285,1600,1,2,1,0,0,0,0,1
4531,181900014,1650,1,2,2,0,0,1,0,4
4534,181900074,1130,1,2,1,0,0,0,0,1
4181,171804369,1729,1,2,1,0,1,0,0,3
4184,181804139,1540,1,1,1,1,0,0,1,5
4189,181804406,900,1,1,1,1,0,0,1,5
4212,181804629,1930,1,1,1,0,0,0,0,4
4221,181804719,1750,1,1,1,1,0,0,0,5
4223,181804730,1058,1,2,2,0,0,0,0,2
4543,181900279,1330,1,3,3,0,0,0,0,2
4558,181900576,220,1,3,1,0,0,0,0,4
4566,181900769,855,1,2,2,0,0,0,1,1
4573,181808186,1130,1,2,1,0,1,0,0,1
4582,181808282,1902,1,2,1,0,1,0,0,1
4246,181804857,1700,1,1,1,1,0,0,1,5
4252,181804977,825,1,3,1,0,0,0,0,2
4253,181804174,1230,1,3,1,0,1,0,0,1
4254,181804462,705,1,2,1,0,1,0,0,1
4259,181805020,215,2,2,2,0,0,0,0,4
4284,181805316,925,1,1,1,0,0,1,0,4
4288,181805327,1850,1,1,1,1,0,0,0,4
4591,181808194,840,1,2,1,0,0,0,0,2
4601,181901326,1720,1,2,1,0,1,0,0,3
4604,181808317,1900,1,2,1,0,1,0,0,1
4627,181901024,2005,1,1,1,1,0,0,0,5
4628,181901039,1935,1,4,2,0,0,0,0,1
4629,181901053,1709,1,1,2,0,0,0,0,4
4292,181805360,1730,1,2,1,0,0,0,0,1
4293,181805366,1202,2,2,1,0,0,1,0,3
4294,181805376,1315,2,2,1,0,0,0,0,1
4303,181805197,100,1,1,1,1,0,0,0,5
4308,181805082,1315,1,2,1,0,1,0,0,1
4319,181805740,1835,1,1,1,1,0,0,0,5
4331,181805518,430,1,2,1,0,1,0,0,3
4650,181901545,1040,1,1,1,1,0,0,0,5
4652,181901584,1530,1,1,1,1,0,0,0,5
4655,181901597,1550,1,2,1,0,0,1,0,1
4663,181808559,1830,1,2,1,0,1,0,0,1
4354,181806195,852,1,2,1,0,0,0,0,1
4358,181806358,1528,1,2,3,0,0,0,0,1
4359,181806370,1450,1,2,1,0,0,0,0,4
4362,181806403,2214,1,2,1,0,0,0,0,3
4364,181806481,1915,1,2,1,0,1,0,0,1
4366,181806515,1620,1,2,2,0,0,0,1,2
4372,181806234,630,1,2,1,0,1,0,0,3
4379,181806011,1145,1,1,1,1,0,0,1,5
4693,181901158,1815,1,2,1,0,1,1,0,3
4699,181901288,807,1,2,1,0,1,0,0,1
4701,181901334,505,1,2,1,0,0,1,0,3
4704,181901385,2110,1,1,1,1,0,0,0,5
4709,181901526,1245,1,2,1,0,0,0,0,4
4731,181902439,1120,1,2,1,0,1,0,0,2
4393,181806973,2026,1,1,1,1,0,0,0,5
4395,181807028,1603,1,2,2,0,0,0,0,2
4397,181806216,2210,1,2,1,0,0,0,0,4
4402,181807141,1955,1,2,1,0,1,0,0,2
4409,181806630,1641,1,2,1,0,0,0,0,1
4414,181807304,1915,1,2,3,0,0,0,1,2
4422,181807363,1502,1,2,1,0,1,0,0,1
4425,181807441,1824,1,1,1,0,0,0,0,1
4737,181902346,940,1,2,3,0,0,0,1,1
4763,191902155,1750,1,2,1,0,1,0,0,3
4787,181902733,1801,1,2,1,0,0,0,0,2
4789,181900632,1430,1,2,1,0,1,0,0,1
2687,161608022,1840,1,2,1,0,1,0,0,2
2690,161608071,1137,1,2,1,0,0,0,0,1
2705,161608101,1805,1,2,1,0,1,0,0,4
3418,171705161,1048,1,2,1,0,1,0,0,1
3422,171705230,835,1,4,1,0,0,1,0,3
3423,171705238,1130,2,2,1,0,1,0,0,1
3438,171705099,1418,1,2,1,0,1,0,0,6
4431,181806596,1705,1,2,1,0,0,1,0,1
4445,181806770,956,1,2,1,0,1,0,0,1
4449,181807781,1010,1,2,1,0,1,0,0,1
4460,181807809,1657,1,2,1,0,0,1,0,1
4464,181807838,730,1,2,1,0,0,0,0,2
4793,181902649,1730,1,1,1,0,0,0,0,4
4803,181905274,2145,1,2,1,0,0,0,0,1
2710,161608261,2350,1,2,1,0,0,0,0,2
2727,161608428,1,1,3,1,0,0,0,0,1
2729,161608210,845,1,2,1,0,0,0,0,2
3077,161609402,2143,1,2,1,0,0,0,0,1
3094,171701629,1914,1,2,4,0,0,0,2,2
3442,171705473,2255,1,7,2,0,0,0,0,4
3447,171705521,1420,1,1,1,1,0,1,0,5
3773,171800244,1600,1,1,1,0,0,0,1,1
3791,171800571,1945,1,2,1,0,0,0,0,3
4125,171803858,1945,1,2,1,0,0,1,0,1
4127,181803443,1745,1,2,1,0,1,0,0,1
4128,181803447,920,1,2,1,0,0,0,0,1
2733,161608449,1446,1,2,1,0,0,1,0,6
2736,161608463,900,2,2,1,0,0,1,0,3
